"turb-outlet-report-rfile"
"Iteration" "turb-outlet-report"
("Iteration" "turb-outlet-report")
1 850.6014
2 830.9703
3 813.7435
4 798.3107
5 784.2584
6 771.347
7 759.4223
8 748.4077
9 738.2874
10 729.0968
11 720.9077
12 713.819
13 707.9465
14 703.4109
15 700.3268
16 698.7972
17 698.9017
18 700.6863
19 704.1582
20 709.2756
21 715.9376
22 723.9697
23 733.1143
24 743.0414
25 753.3561
26 763.6435
27 773.5049
28 782.6016
29 790.6829
30 797.6052
31 803.3373
32 807.9279
33 811.4752
34 814.1097
35 815.9901
36 817.2729
37 818.1101
38 818.642
39 818.993
40 819.262
41 819.5251
42 819.8331
43 820.2157
44 820.6847
45 821.2377
46 821.8593
47 822.5285
48 823.217
49 823.8938
50 824.5276
51 825.0887
52 825.5502
53 825.8912
54 826.0952
55 826.1529
56 826.0615
57 825.8218
58 825.442
59 824.9319
60 824.3087
61 823.5876
62 822.7905
63 821.9376
64 821.049
65 820.1443
66 819.2417
67 818.3569
68 817.5046
69 816.6957
70 815.9393
71 815.2412
72 814.6051
73 814.0319
74 813.5207
75 813.0695
76 812.6744
77 812.3306
78 812.0331
79 811.7762
80 811.5543
81 811.3618
82 811.1934
83 811.0444
84 810.9105
