"turb-outlet-report-rfile"
"Iteration" "turb-outlet-report"
("Iteration" "turb-outlet-report")
1 2142.244
2 2020.6
3 1954.609
4 1911.755
5 1876.363
6 1842.875
7 1797.32
8 1745.042
9 1686.025
10 1625.317
11 1562.332
12 1501.382
13 1442.522
14 1387.684
15 1339.032
16 1297.47
17 1262.506
18 1234.679
19 1211.658
20 1195.425
21 1184.229
22 1176.098
23 1172.232
24 1170.913
25 1172.382
26 1175.528
27 1180.161
28 1185.651
29 1191.859
30 1198.362
31 1204.769
32 1211.422
33 1217.608
34 1223.596
35 1229.153
36 1234.344
37 1239.011
38 1243.323
39 1247.542
40 1251.489
41 1255.665
42 1259.777
43 1264.211
44 1268.911
45 1273.7
46 1278.418
47 1283.19
48 1287.533
49 1291.252
50 1294.694
51 1297.315
52 1299.775
53 1301.959
54 1303.392
55 1304.316
56 1304.943
57 1304.956
58 1304.736
59 1304.502
60 1303.93
61 1303.23
62 1302.639
63 1301.669
64 1300.859
65 1299.949
66 1299.13
67 1298.282
68 1297.605
69 1297.056
70 1296.621
71 1296.244
72 1295.944
73 1295.747
74 1295.622
75 1295.557
76 1295.552
77 1295.592
78 1295.664
79 1295.768
80 1295.883
81 1296.015
82 1296.155
83 1296.286
84 1296.417
85 1296.534
